id,host_id,neighbourhood_group,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,DECISION
2539,2787,Brooklyn,40.64749,-73.97237,149,1,9,0.21,6,365,Yes
2595,2845,Manhattan,40.75362,-73.98377,225,1,45,0.38,2,355,No
3647,4632,Manhattan,40.80902,-73.9419,150,3,0,,1,365,Yes
3831,4869,Brooklyn,40.68514,-73.95976,89,1,270,4.64,1,194,No
5022,7192,Manhattan,40.79851,-73.94399,80,10,9,0.1,1,0,No
5099,7322,Manhattan,40.74767,-73.975,200,3,74,0.59,1,129,Yes
5121,7356,Brooklyn,40.68688,-73.95596,60,45,49,0.4,1,0,Yes
5178,8967,Manhattan,40.76489,-73.98493,79,2,430,3.47,1,220,Yes
5203,7490,Manhattan,40.80178,-73.96723,79,2,118,0.99,1,0,No
5238,7549,Manhattan,40.71344,-73.99037,150,1,160,1.33,4,188,Yes
5295,7702,Manhattan,40.80316,-73.96545,135,5,53,0.43,1,6,No
5441,7989,Manhattan,40.76076,-73.98867,85,2,188,1.5,1,39,No
5803,9744,Brooklyn,40.66829,-73.98779,89,4,167,1.34,3,314,Yes
6021,11528,Manhattan,40.79826,-73.96113,85,2,113,0.91,1,333,Yes
6090,11975,Manhattan,40.7353,-74.00525,120,90,27,0.22,1,0,Yes
6848,15991,Brooklyn,40.70837,-73.95352,140,2,148,1.2,1,46,No
7097,17571,Brooklyn,40.69169,-73.97185,215,2,198,1.72,1,321,Yes
7322,18946,Manhattan,40.74192,-73.99501,140,1,260,2.12,1,12,No
7726,20950,Brooklyn,40.67592,-73.94694,99,3,53,4.44,1,21,No
7750,17985,Manhattan,40.79685,-73.94872,190,7,0,,2,249,Yes
7801,21207,Brooklyn,40.71842,-73.95718,299,3,9,0.07,1,0,Yes
8024,22486,Brooklyn,40.68069,-73.97706,130,2,130,1.09,6,347,Yes
8025,22486,Brooklyn,40.67989,-73.97798,80,1,39,0.37,6,364,No
8110,22486,Brooklyn,40.68001,-73.97865,110,2,71,0.61,6,304,Yes
8490,25183,Brooklyn,40.68371,-73.94028,120,2,88,0.73,2,233,No
8505,25326,Brooklyn,40.65599,-73.97519,60,1,19,1.37,2,85,No
8700,26394,Manhattan,40.86754,-73.92639,80,4,0,,1,0,Yes
9357,30193,Manhattan,40.76715,-73.98533,150,10,58,0.49,1,75,Yes
9518,31374,Manhattan,40.86482,-73.92106,44,3,108,1.11,3,311,Yes
9657,21904,Manhattan,40.7292,-73.98542,180,14,29,0.24,1,67,No
9668,32294,Manhattan,40.82245,-73.95104,50,3,242,2.04,3,355,Yes
9704,32045,Manhattan,40.81305,-73.95466,52,2,88,1.42,1,255,No
9782,32169,Brooklyn,40.72219,-73.93762,55,4,197,1.65,3,284,No
9783,32294,Manhattan,40.8213,-73.95318,50,3,273,2.37,3,359,Yes
10452,35935,Brooklyn,40.6831,-73.95473,70,1,74,0.66,2,269,Yes
10962,9744,Brooklyn,40.66869,-73.9878,89,4,168,1.41,3,340,Yes
11452,7355,Brooklyn,40.68876,-73.94312,35,60,0,,1,365,No
11708,44145,Brooklyn,40.70186,-73.92745,85,2,231,1.96,2,22,Yes
11943,45445,Brooklyn,40.63702,-73.96327,150,1,0,,1,365,No
12048,7549,Manhattan,40.71401,-73.98917,40,1,214,1.81,4,188,No
12192,46978,Manhattan,40.7229,-73.98199,68,2,245,2.08,2,96,Yes
12299,47610,Brooklyn,40.66278,-73.97966,120,3,15,0.39,1,345,Yes
12303,47618,Brooklyn,40.69673,-73.97584,120,7,25,0.23,1,311,Yes
12318,16800,Manhattan,40.79009,-73.97927,135,4,81,0.69,1,273,No
12343,47727,Manhattan,40.81175,-73.94478,150,7,97,0.84,1,309,Yes
12627,49670,Brooklyn,40.65944,-73.96238,150,29,11,0.49,1,95,No
12937,50124,Queens,40.74771,-73.9474,130,3,248,2.25,1,215,No
12940,50148,Brooklyn,40.68111,-73.95591,110,7,61,0.52,1,265,Yes
13050,50846,Brooklyn,40.68554,-73.9409,115,3,11,0.1,1,0,Yes
13394,52335,Brooklyn,40.69142,-73.97376,80,3,135,1.16,2,192,Yes
13808,54275,Brooklyn,40.68043,-73.93934,80,1,112,1.01,3,251,No
14287,56094,Manhattan,40.78635,-73.97008,151,2,73,0.63,1,302,Yes
14290,56104,Brooklyn,40.7042,-73.9356,228,3,82,0.7,1,140,No
14314,56246,Brooklyn,40.73506,-73.95392,144,2,328,2.82,1,234,No
14322,56284,Manhattan,40.73961,-73.98074,200,7,19,0.22,1,257,Yes
14377,56512,Brooklyn,40.70881,-73.9593,150,30,105,0.9,1,30,Yes
14991,59023,Manhattan,40.72004,-73.99104,110,5,19,0.17,1,301,Yes
15220,59734,Manhattan,40.75531,-73.99293,69,2,289,2.49,2,294,No
15338,32169,Brooklyn,40.72401,-73.93788,49,4,138,1.19,3,320,Yes
15341,60049,Manhattan,40.7221,-73.99775,180,30,21,0.3,1,154,No
15385,60252,Brooklyn,40.71185,-73.96204,80,2,42,0.38,1,263,No
15396,60278,Manhattan,40.74623,-73.9953,375,180,5,0.12,1,180,Yes
15711,61491,Manhattan,40.77065,-73.95269,250,2,66,0.57,2,231,Yes
16326,63588,Brooklyn,40.67811,-73.96428,200,30,143,1.33,2,297,Yes
16338,63613,Brooklyn,40.69,-73.96788,55,7,27,0.23,2,292,No
16421,63924,Manhattan,40.75979,-73.99119,52,30,191,1.65,1,191,Yes
16458,64056,Brooklyn,40.67343,-73.98338,225,3,4,0.16,1,0,No
16580,64442,Manhattan,40.72649,-73.97904,80,1,338,4.72,2,72,No
16595,64522,Brooklyn,40.70933,-73.96792,275,1,148,1.4,1,362,Yes
16821,4396,Manhattan,40.72298,-73.98474,99,1,106,1.26,2,336,Yes
16974,65837,Manhattan,40.80164,-73.93922,225,4,190,1.64,1,215,Yes
17037,66035,Manhattan,40.72162,-73.98008,230,9,49,0.43,1,116,No
17092,66243,Manhattan,40.76342,-73.98865,51,7,23,0.43,1,88,Yes
17693,68428,Manhattan,40.83139,-73.94095,65,2,49,1.6,2,336,No
17747,68599,Brooklyn,40.68346,-73.96374,105,2,105,0.92,1,304,No
18127,69829,Manhattan,40.72828,-73.98801,190,5,21,0.2,1,224,Yes
18152,69942,Manhattan,40.76865,-73.95058,200,1,142,1.5,1,322,Yes
18198,70091,Queens,40.75038,-73.90334,70,30,25,0.22,1,324,Yes
18590,71512,Brooklyn,40.6932,-73.97267,95,3,143,1.28,1,132,No
18728,71876,Manhattan,40.74138,-74.00197,150,3,167,1.65,1,295,Yes
18764,72014,Brooklyn,40.71154,-73.96112,145,3,61,0.54,4,238,No
19159,73051,Manhattan,40.82915,-73.95136,110,31,54,0.49,1,209,No
19169,73128,Manhattan,40.71851,-73.98892,285,5,70,0.62,1,328,Yes
19282,73469,Brooklyn,40.65401,-73.96323,130,6,16,0.15,1,38,Yes
19319,44263,Manhattan,40.7114,-73.98794,94,30,94,0.84,1,188,Yes
19601,74303,Brooklyn,40.69723,-73.99268,800,1,25,0.24,1,7,No
19812,74857,Brooklyn,40.71833,-73.95748,105,3,61,0.53,1,272,Yes
20299,62407,Manhattan,40.72334,-73.9844,60,3,194,1.73,1,26,No
20300,76627,Manhattan,40.72912,-73.98057,50,1,2,0.05,1,0,No
20611,72014,Brooklyn,40.71156,-73.96218,85,3,174,1.54,4,288,Yes
20724,961342,Brooklyn,40.70032,-73.9383,65,4,24,0.28,1,317,Yes
20734,78460,Brooklyn,40.68233,-73.97261,131,4,166,3.4,1,207,Yes
20755,51038,Brooklyn,40.68634,-73.966,98,7,16,0.2,6,185,No
20853,79070,Brooklyn,40.68035,-73.97162,250,7,21,0.3,1,158,Yes
20913,79402,Brooklyn,40.70984,-73.95775,100,5,168,1.57,1,0,No
21293,44145,Brooklyn,40.70093,-73.92609,105,3,118,1.05,2,9,No
21456,42032,Manhattan,40.79764,-73.96177,140,3,81,0.71,1,198,Yes
21644,82685,Manhattan,40.82803,-73.94731,89,1,1,0.11,1,365,Yes
21794,83257,Manhattan,40.74008,-74.00271,98,30,30,0.27,2,364,Yes
22911,87773,Brooklyn,40.68413,-73.92357,125,7,139,1.23,2,311,No
22918,32294,Manhattan,40.82279,-73.95139,60,3,11,0.87,3,219,Yes
23135,11481,Brooklyn,40.67967,-74.00154,175,2,233,2.09,3,342,No
23501,63318,Manhattan,40.83927,-73.94281,65,2,68,0.6,1,312,No
23686,93790,Manhattan,40.73096,-74.00319,500,4,46,0.55,2,243,Yes
24143,97219,Brooklyn,40.71332,-73.94177,101,3,335,3.02,1,152,Yes
24285,97797,Brooklyn,40.66941,-73.98109,220,30,88,0.79,1,9,Yes
25235,87773,Brooklyn,40.68373,-73.92377,125,90,162,1.46,2,137,No
25406,105538,Brooklyn,40.71459,-73.94844,80,30,29,0.4,1,222,Yes
25696,107628,Manhattan,40.8092,-73.94421,100,2,170,1.61,1,346,No
26012,109589,Brooklyn,40.68157,-73.98989,200,30,19,0.2,1,208,No
26362,59734,Manhattan,40.75527,-73.99291,59,2,334,3,2,279,Yes
26520,51038,Brooklyn,40.68698,-73.96572,125,2,19,0.2,6,250,Yes
26559,112793,Manhattan,40.7288,-73.98192,140,7,12,0.13,1,164,Yes
26785,42273,Brooklyn,40.66853,-73.98912,120,30,467,4.22,2,192,No
26933,72062,Manhattan,40.7254,-73.98157,350,2,7,0.06,4,298,Yes
